"","LEVEL3_COD","Orchidaceae","Euphorbiaceae","Araceae","Malvaceae","Acanthaceae","Crassulaceae","Urticaceae","Resedaceae","Hamamelidaceae","Apiaceae","Moraceae","Plumbaginaceae","Araliaceae","Cucurbitaceae","Fabaceae","Balsaminaceae","Solanaceae","Brassicaceae","Gesneriaceae","Celastraceae","Ranunculaceae","Boraginaceae","Lauraceae","Polygonaceae","Rosaceae","Anacardiaceae","Loranthaceae","Orobanchaceae","Caryophyllaceae","Salicaceae","Scrophulariaceae","Myrtaceae","Violaceae","Vitaceae","Rubiaceae","Caprifoliaceae","Aristolochiaceae","Amaranthaceae","Santalaceae","Primulaceae","Rutaceae","Lythraceae","Ericaceae","Capparaceae","Papaveraceae","Onagraceae","Rhamnaceae","Thymelaeaceae","Gentianaceae","Lamiaceae","Berberidaceae","Plantaginaceae","Polygalaceae","Saxifragaceae","Aquifoliaceae","Geraniaceae","Actinidiaceae","Styracaceae","Tamaricaceae","Hydrangeaceae","Arecaceae","Sapindaceae","Menispermaceae","Apocynaceae","Linderniaceae","Elaeagnaceae","Linaceae","Zygophyllaceae","Phyllanthaceae","Grossulariaceae","Asteraceae","Fagaceae","Viburnaceae","Betulaceae","Cyperaceae","Commelinaceae","Eriocaulaceae","Dioscoreaceae","Juncaceae","Amaryllidaceae","Asparagaceae","Asphodelaceae","Liliaceae","Smilacaceae","Melanthiaceae","Colchicaceae","Iridaceae","Oleaceae","Campanulaceae","Cupressaceae","Pinaceae","Schisandraceae","Ebenaceae","Poaceae","Convolvulaceae","Hypericaceae","Lentibulariaceae","LEVEL3_NAM","area","fam_sr","kew","gdd","swb","rock","compound"
"11","BRY",27,5,4,1,NA,13,5,NA,NA,45,NA,5,NA,NA,116,1,3,93,NA,3,109,32,NA,44,91,NA,NA,41,66,30,2,NA,21,NA,11,12,NA,35,4,20,1,2,28,NA,22,10,3,1,25,52,1,30,3,25,NA,12,NA,NA,2,NA,NA,NA,1,4,NA,1,3,1,NA,11,220,NA,3,10,53,1,NA,NA,26,24,6,1,8,NA,7,NA,11,NA,12,1,6,NA,NA,182,6,2,7,"Buryatiya",688252,1663,11,0.683129072426331,0.963668696425785,1.62424155973624,2.85541379934024
"12","BUL",60,37,10,17,3,38,10,3,NA,151,NA,14,1,3,281,1,8,197,2,4,115,86,NA,48,179,3,1,68,204,23,49,NA,36,1,66,64,5,44,10,35,5,9,20,NA,28,18,7,13,27,151,3,102,12,25,2,30,NA,NA,4,NA,NA,8,NA,10,1,1,22,2,1,5,572,12,6,9,118,NA,NA,1,34,47,42,4,28,1,3,9,27,8,48,5,8,NA,NA,284,20,21,4,"Bulgaria",175800,3694,12,0.924196697180952,0.607361583457928,1.66641719253337,2.7535057941849
"13","CHC",1126,125,161,151,201,137,364,6,47,344,113,5,140,110,778,216,45,177,367,180,531,124,297,155,748,50,37,317,189,156,42,40,58,116,424,102,81,33,41,464,96,21,559,22,285,37,104,78,263,575,279,75,37,193,113,34,48,42,4,83,36,108,58,282,24,48,6,2,97,29,1202,225,59,54,448,41,21,49,64,57,209,8,65,72,42,13,38,103,115,24,45,35,27,954,80,58,20,"China South-Central",1738462,16564,13,1.75923778046492,1.09281210135407,1.72229417183867,4.32840589018436
"14","CHI",28,19,10,4,NA,15,7,NA,NA,53,1,6,2,1,178,2,11,84,NA,13,101,33,NA,58,89,1,1,41,73,29,3,NA,22,3,17,26,NA,63,4,21,6,2,19,NA,17,10,6,1,26,51,9,27,3,8,NA,12,1,NA,16,2,NA,9,1,12,NA,2,4,11,1,10,292,NA,5,13,113,1,1,1,13,33,15,3,11,NA,5,NA,13,6,19,4,9,1,NA,205,11,2,4,"Inner Mongolia",1941683,2065,14,0.986350437040226,1.35321723617329,1.8729362648469,3.4709180558766
"15","CHM",40,10,13,6,NA,24,12,NA,NA,68,2,3,7,3,100,4,9,74,1,11,117,23,1,69,131,1,NA,31,55,32,2,NA,34,7,22,30,4,48,3,18,6,3,35,NA,34,12,11,5,18,68,7,29,4,22,NA,13,4,1,1,9,NA,11,1,14,1,2,3,1,2,11,253,5,6,16,199,3,5,1,20,27,22,3,22,2,10,2,23,8,24,5,11,1,1,181,14,4,3,"Manchuria",1318081,2214,15,0.778774982014122,0.73387685868706,1.93206567827632,3.05215927500261
"16","CHN",116,31,19,17,3,54,39,NA,4,139,12,11,29,14,326,17,21,127,16,43,232,76,26,100,336,9,4,90,92,86,17,NA,33,30,48,60,11,85,11,70,25,8,66,NA,85,24,34,21,73,138,45,38,6,47,10,18,8,5,23,28,NA,31,4,33,2,11,5,14,10,19,548,22,29,27,244,4,1,4,33,48,52,7,31,17,8,4,27,38,35,15,22,4,2,404,19,13,7,"China North-Central",1629047,4950,16,1.3529366753912,1.21426383429504,1.71734350079843,3.97637887728576
"17","CHQ",30,11,5,2,NA,28,6,NA,NA,61,NA,5,2,NA,183,2,13,90,1,15,99,42,NA,45,80,1,NA,45,67,28,6,NA,5,1,17,22,NA,47,10,31,3,2,24,NA,43,13,2,5,69,31,14,24,3,40,NA,9,1,NA,15,3,NA,1,NA,8,NA,4,2,6,1,5,286,NA,5,2,82,NA,NA,1,9,19,12,NA,9,NA,NA,NA,15,5,12,10,8,NA,NA,278,9,3,2,"Qinghai",1054284,2095,17,0.855775875495929,1.3529802891204,1.74576329040926,3.42864116442095
"18","CHS",486,108,79,119,132,53,224,1,31,83,83,5,84,61,475,57,28,65,367,116,152,39,231,85,338,22,26,46,45,54,14,43,47,86,338,55,52,37,24,175,79,23,175,23,37,22,73,25,42,321,57,47,25,31,121,10,42,37,3,50,33,86,43,212,36,28,4,1,95,10,412,150,48,37,404,43,24,31,15,30,176,7,26,50,19,8,14,74,35,14,23,27,27,708,56,23,16,"China Southeast",1888522,8854,18,1.28235486582825,1.01663023785604,1.9547782531345,3.78511399582777
"19","CHT",327,23,43,9,43,64,100,1,2,178,21,6,35,22,338,35,18,192,42,37,276,88,53,85,277,12,13,149,153,73,22,6,17,17,75,56,4,52,20,212,16,2,288,9,178,22,28,17,177,139,77,52,11,159,20,16,9,4,10,15,5,23,6,44,4,7,3,1,18,9,639,44,17,11,161,11,2,11,35,25,29,1,26,8,8,4,23,25,59,14,23,2,1,416,15,14,9,"Tibet",1554382,6198,19,0.546397011525115,1.2669325626624,1.87013912848966,3.50211231925984
"20","CHX",15,44,4,6,NA,28,7,NA,NA,128,NA,31,NA,NA,420,1,15,213,NA,6,133,93,NA,76,88,NA,NA,58,117,36,13,NA,9,NA,29,21,NA,153,3,21,4,4,13,1,36,11,5,8,31,112,7,59,3,13,NA,17,NA,NA,23,NA,NA,1,NA,7,NA,2,5,20,NA,6,520,NA,3,3,90,NA,NA,NA,22,68,8,3,43,NA,2,NA,12,1,8,4,4,NA,NA,329,20,5,2,"Xinjiang",2523690,3303,20,1.53820946985272,1.50186170196794,1.48899853544386,3.5558599579694
"21","COR",55,35,11,18,NA,22,9,6,NA,73,NA,23,2,2,179,NA,7,81,NA,1,64,40,1,27,55,2,NA,31,96,9,14,1,15,1,32,27,3,30,5,9,3,5,11,1,25,10,3,7,12,66,2,59,5,7,1,24,NA,NA,2,NA,NA,4,NA,4,NA,NA,9,1,NA,NA,254,6,4,6,74,NA,NA,1,33,27,26,5,9,1,1,4,17,4,10,5,5,NA,NA,209,16,8,1,"Corse",13775,1973,21,1.37759344852916,0.786022643060759,1.30995299428237,3.0658797206525
"22","CTA",24,8,3,1,NA,10,3,NA,NA,43,NA,3,NA,1,94,1,5,70,NA,4,96,25,NA,42,61,NA,NA,37,56,24,1,NA,15,NA,9,12,NA,31,3,18,2,2,27,NA,20,7,3,2,21,42,1,21,3,23,NA,11,NA,NA,1,NA,NA,NA,1,3,NA,NA,3,NA,1,9,179,1,5,10,48,1,NA,NA,23,21,12,1,10,NA,7,NA,11,NA,15,2,6,NA,NA,138,7,2,6,"Chita",829935,1408,22,0.535300998297483,0.905166922798198,1.37116666975991,2.4179861334194
"23","CYP",43,25,8,15,NA,15,7,5,NA,76,1,9,1,3,164,NA,7,78,NA,1,40,42,1,16,21,4,NA,18,83,1,7,1,8,1,32,22,2,36,2,10,2,3,5,1,25,5,5,3,9,69,3,38,2,2,NA,18,NA,1,4,NA,NA,1,NA,5,NA,NA,7,4,1,NA,162,3,1,1,30,NA,NA,1,17,28,20,5,11,1,NA,3,9,2,12,6,4,NA,NA,168,18,7,1,"Cyprus",13154,1528,23,0.887283667125893,0.69687065137755,0.97026539584458,2.21400019909314
"24","CZE",61,26,9,15,NA,17,4,3,NA,81,NA,4,3,1,127,1,7,115,NA,3,118,44,NA,35,356,1,1,62,109,28,13,NA,25,1,37,32,2,42,9,31,1,5,22,NA,16,19,3,4,25,73,1,62,8,21,NA,18,NA,NA,1,NA,NA,4,NA,3,1,1,9,1,NA,4,670,7,6,8,140,NA,NA,NA,34,19,23,NA,14,NA,4,2,13,4,27,2,7,NA,NA,205,4,8,9,"Czechoslovakia",227563,2931,24,0.663940984721598,0.719605146989051,1.91714977850686,2.88180916502686
"25","DEN",36,4,6,7,NA,6,3,NA,NA,35,NA,3,2,NA,50,1,3,45,NA,2,36,20,NA,27,151,NA,NA,26,46,10,6,NA,12,NA,15,15,NA,16,1,16,NA,2,17,NA,7,9,2,NA,6,34,NA,35,4,5,1,12,NA,NA,NA,NA,NA,1,NA,1,NA,1,2,NA,NA,3,510,3,3,5,85,NA,NA,NA,28,6,8,NA,5,NA,1,NA,2,2,10,1,NA,NA,NA,96,5,7,8,"Denmark",88986,1527,25,0,0.018082544661327,0.0185067822936918,0.024691462433754
"26","EAI",60,26,11,16,3,23,7,3,NA,80,NA,21,1,2,244,NA,10,87,NA,NA,46,46,1,21,32,4,1,23,102,5,28,1,9,NA,52,33,5,24,3,10,4,3,6,1,29,6,7,3,8,93,2,52,3,5,NA,15,NA,1,5,NA,1,1,NA,7,NA,1,10,3,1,NA,218,9,1,1,34,NA,NA,1,17,49,40,5,16,1,NA,10,24,2,23,5,4,NA,NA,185,21,10,NA,"East Aegean Is.",8242,1983,26,0.665522036836574,0.437673885505498,1.69614348590226,2.66285188702758
"27","EHM",793,51,72,59,106,41,99,1,2,96,59,3,41,49,399,97,27,94,94,45,137,55,93,71,211,23,23,120,67,32,19,20,16,40,172,41,9,22,12,172,37,11,232,12,82,18,20,9,125,173,30,43,17,99,16,10,10,4,4,13,33,26,16,110,16,10,5,1,58,7,383,32,12,7,229,33,7,21,48,14,46,1,25,23,7,5,9,25,55,5,13,7,2,418,34,19,9,"East Himalaya",174382,6319,27,2.06409927874023,0.604742625589781,1.33811133477392,3.6850979006078
"28","FIN",32,5,5,2,NA,8,2,NA,NA,17,NA,1,NA,NA,34,1,3,45,NA,1,355,16,NA,28,65,NA,NA,27,55,25,3,NA,15,NA,11,8,1,9,NA,14,NA,2,27,NA,4,15,2,1,6,24,NA,31,3,14,NA,12,NA,NA,1,NA,NA,1,NA,1,NA,1,1,NA,NA,3,766,1,2,6,125,NA,NA,NA,27,5,4,NA,2,NA,2,NA,1,NA,12,1,3,NA,NA,102,4,4,9,"Finland",903780,2013,28,0.272802694782132,0.569405846188361,1.18315115426551,1.898311939378
"29","FOR",8,1,1,NA,NA,2,1,NA,NA,3,NA,1,NA,NA,5,NA,NA,10,NA,NA,9,6,NA,12,13,NA,NA,10,16,4,NA,NA,5,NA,3,1,NA,1,NA,2,NA,NA,8,NA,1,6,NA,NA,1,5,NA,15,2,7,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,45,NA,NA,1,29,NA,NA,NA,16,NA,1,NA,NA,NA,NA,NA,1,NA,3,1,NA,NA,NA,43,NA,2,2,"F榇昽yar",3949,305,29,0.691433586661541,0.0393246737156014,0,0.730000145433731
"30","FRA",93,44,9,21,NA,41,7,8,NA,166,NA,37,3,2,317,1,8,222,1,3,176,83,1,43,512,4,NA,100,198,34,21,1,40,1,69,68,7,52,10,59,5,10,34,1,41,22,10,15,44,132,1,116,15,53,1,41,NA,NA,4,NA,1,5,NA,7,1,1,16,1,NA,6,1110,10,7,9,170,NA,NA,2,51,65,39,7,26,1,3,7,27,6,59,7,11,NA,NA,385,18,20,16,"France",913413,5101,30,0.903677479146194,0.634826324606708,1.75118520787722,2.91571214129509
"31","GER",67,24,8,10,NA,17,5,2,NA,79,NA,5,3,2,99,1,5,114,NA,4,151,37,NA,34,608,NA,1,60,101,31,13,NA,21,2,38,35,2,43,7,34,1,4,27,NA,18,19,4,5,31,65,1,69,11,21,1,22,NA,NA,1,NA,NA,5,NA,3,1,1,9,NA,NA,6,894,4,6,9,149,NA,NA,1,46,17,20,NA,13,NA,3,1,9,2,30,2,7,NA,NA,194,8,9,10,"Germany",661241,3422,31,0.529351700206176,0.377328664354277,1.60715372098595,2.40975911273396
"32","GRB",46,6,7,6,NA,9,2,1,NA,47,NA,36,3,1,64,1,4,46,NA,2,94,22,NA,28,411,NA,NA,44,62,19,8,NA,13,NA,19,12,NA,25,2,16,NA,2,23,NA,10,15,2,2,15,35,NA,36,4,14,1,17,NA,NA,NA,NA,NA,1,NA,NA,NA,1,4,NA,NA,5,772,3,4,7,108,NA,1,1,34,8,12,NA,3,NA,1,1,3,2,12,1,1,NA,NA,126,5,13,9,"Great Britain",457908,2370,32,0.832529510742167,0.696825582815429,1.74149490223657,2.79084175726587
"33","GRC",90,52,16,27,6,44,8,6,NA,204,1,85,2,4,399,1,14,249,4,4,127,136,1,51,136,5,1,78,306,18,76,1,59,1,126,83,10,57,15,28,8,9,18,1,43,17,15,13,18,217,5,110,15,26,1,42,NA,1,7,NA,NA,10,NA,10,1,NA,29,2,1,4,698,14,7,8,106,NA,NA,1,43,103,74,6,43,2,3,28,57,9,83,8,10,NA,NA,376,30,33,6,"Greece",176946,4902,33,1.30360012247007,0.955405298723801,1.54566603409051,3.4267551183528
"34","HUN",52,31,8,13,NA,13,4,4,NA,78,NA,3,3,2,125,1,7,103,NA,3,100,43,NA,32,182,1,1,39,89,13,13,NA,20,2,36,28,3,41,5,18,1,7,13,NA,15,15,4,4,10,74,1,59,6,6,NA,18,NA,NA,1,NA,NA,5,NA,4,1,1,9,1,NA,2,314,8,6,8,106,NA,NA,1,23,25,29,1,11,NA,3,4,15,4,22,1,3,NA,NA,170,7,5,6,"Hungary",158884,2145,34,0.163277584758241,0.576674599628943,0.674593901203929,1.24194687285028
"35","ICE",8,1,1,NA,NA,5,1,NA,NA,3,NA,1,1,NA,7,NA,NA,21,NA,1,11,7,NA,10,21,NA,NA,12,26,5,NA,NA,6,NA,7,3,NA,2,NA,4,NA,NA,14,NA,1,8,NA,NA,8,4,NA,18,NA,14,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,325,NA,NA,2,56,NA,NA,NA,20,NA,NA,NA,NA,NA,1,NA,NA,NA,3,1,NA,NA,NA,44,NA,NA,2,"Iceland",281861,687,35,0.628976127170019,0.0599082825959874,0.120603389264191,0.802658382449253
"36","IRE",28,4,5,2,NA,4,2,1,NA,28,NA,9,3,NA,37,NA,2,30,NA,2,27,12,NA,19,183,NA,NA,20,36,12,4,NA,11,NA,12,7,NA,16,NA,10,NA,2,20,NA,7,9,2,NA,8,26,NA,29,2,12,1,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,251,2,3,4,74,NA,1,NA,20,4,3,1,NA,NA,NA,1,1,2,5,1,NA,NA,NA,81,4,8,8,"Ireland",163541,1134,36,0.67939938368089,0.358973808073568,1.53306929920206,2.42397636396718
"37","IRK",28,10,4,2,NA,11,4,NA,NA,44,NA,4,NA,NA,110,1,4,80,NA,3,90,31,NA,44,84,NA,NA,40,69,34,2,NA,23,NA,10,12,NA,35,3,22,NA,2,30,NA,18,10,NA,1,23,47,1,26,3,23,NA,12,NA,NA,1,NA,NA,NA,1,2,NA,1,3,NA,NA,11,199,NA,4,9,70,1,NA,NA,25,14,6,1,9,NA,7,NA,7,NA,12,1,7,NA,NA,160,6,2,6,"Irkutsk",1652426,1565,37,0.234941869094993,0.639178081432507,1.7610965495202,2.26293055630811
"38","IRN",53,104,14,90,4,33,9,17,1,365,4,122,2,8,1305,1,41,415,NA,6,177,280,NA,102,189,5,2,80,395,18,114,1,16,4,113,101,3,210,10,63,25,16,4,5,59,19,16,13,20,398,10,146,9,13,1,39,NA,NA,44,NA,3,11,1,21,1,2,17,21,10,6,1225,16,3,11,134,1,NA,1,27,155,82,12,84,2,NA,15,54,8,61,6,1,NA,1,428,71,21,4,"Iran",2248867,7830,38,1.92878378804782,1.59502687246699,1.60446300331513,4.46387962684507
"39","ITA",116,54,16,25,2,51,9,6,NA,207,NA,53,2,3,358,1,14,255,NA,4,177,82,1,49,249,4,1,115,249,38,30,1,63,1,72,85,6,52,14,69,6,10,29,1,40,20,11,15,54,163,4,122,19,55,1,40,NA,1,4,NA,1,6,NA,9,1,1,20,2,1,4,1005,15,7,10,176,NA,NA,1,55,71,54,10,32,1,3,9,52,8,82,7,12,NA,NA,395,25,18,19,"Italy",402325,5241,39,1.45341558443573,1.22722226335539,1.51198638319951,3.50868755212914
"40","JAP",223,17,58,14,6,40,32,NA,8,84,12,2,27,8,102,3,14,51,4,25,158,22,23,57,154,6,2,43,59,31,10,1,52,12,61,50,48,20,3,49,14,10,133,1,27,25,18,15,39,118,14,40,6,66,19,13,4,5,2,28,1,26,6,35,2,15,1,1,8,10,476,23,18,31,347,10,24,10,37,21,46,10,48,10,21,4,10,24,27,11,22,5,2,297,11,36,14,"Japan",545724,3888,40,1.47002302547294,0.252697129560123,1.90992405839327,3.50025139442503
"41","KAM",21,2,7,NA,NA,6,2,NA,NA,19,NA,1,NA,NA,36,1,NA,47,NA,3,58,10,NA,29,50,NA,NA,29,51,24,NA,NA,7,NA,5,4,NA,7,NA,16,NA,NA,34,NA,11,8,NA,1,12,13,NA,22,NA,34,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,110,1,2,6,91,1,1,NA,29,3,4,NA,8,NA,3,NA,1,NA,8,1,4,NA,NA,137,NA,2,7,"Kamchatka",1044042,994,41,0.675717898710769,0.412974338485655,1.85127580277717,2.8344533768083
"42","KAZ",19,57,8,14,NA,31,6,2,NA,235,NA,56,NA,4,624,3,13,303,NA,5,177,164,NA,108,201,2,NA,103,219,58,25,NA,26,NA,40,56,2,244,9,32,11,14,19,1,42,15,4,11,41,153,11,84,1,14,NA,21,NA,NA,20,NA,NA,1,NA,6,1,2,9,32,NA,11,839,NA,3,9,145,NA,1,NA,25,119,19,14,75,NA,3,3,34,1,15,5,3,NA,NA,371,34,7,2,"Kazakhstan",4747881,5097,42,1.02022637296572,1.04667583897945,1.5833472761225,2.98849005581051
"43","KGZ",14,34,6,14,NA,26,5,2,NA,202,NA,57,NA,2,435,2,11,215,NA,5,122,121,NA,63,157,1,NA,69,133,16,22,NA,17,2,39,45,NA,135,5,34,9,4,6,1,39,12,2,5,31,202,9,57,1,11,NA,18,NA,NA,14,NA,NA,2,NA,4,NA,2,6,9,2,4,637,NA,1,5,97,NA,NA,NA,22,99,10,21,71,NA,1,3,21,1,14,5,2,NA,NA,282,31,6,3,"Kirgizistan",309804,3793,43,1.32354395907248,1.25004307584525,1.74581494703182,3.82744405137715
"44","KHA",40,5,10,2,NA,14,6,NA,NA,40,NA,1,4,3,70,3,2,55,NA,5,112,17,NA,66,78,NA,NA,39,73,27,1,NA,22,3,10,19,1,19,3,18,2,3,41,NA,26,13,3,2,22,58,3,28,4,37,1,7,1,NA,NA,4,NA,4,1,8,1,NA,2,NA,1,11,221,2,4,12,89,2,4,1,23,12,10,3,14,NA,12,1,6,2,20,4,8,1,NA,156,7,3,5,"Khabarovsk",1651075,1673,44,0.803344471331339,0.677551467312945,2.10777478665848,3.31851754400176
"45","KOR",111,16,17,7,4,26,22,NA,3,69,9,1,18,6,101,4,9,51,NA,17,125,23,13,73,136,6,2,25,62,35,3,NA,47,8,38,32,8,28,4,28,9,6,38,NA,36,17,14,8,23,84,8,32,5,27,5,17,4,3,1,13,NA,16,4,20,4,5,1,1,4,11,224,18,16,23,293,7,12,9,32,27,40,8,26,4,14,4,16,25,25,7,13,4,1,204,12,7,10,"Korea",327874,2684,45,1.19133386902872,0.646745181627148,1.58361701189628,3.22261461773823
"46","KRA",29,18,5,7,NA,10,4,NA,NA,52,NA,4,NA,NA,141,1,5,111,NA,1,118,53,NA,59,118,NA,NA,55,88,22,7,NA,23,NA,12,16,1,37,2,26,NA,2,29,NA,23,13,1,NA,23,67,1,38,3,28,NA,13,NA,NA,2,NA,NA,NA,1,2,NA,NA,2,1,NA,8,261,NA,3,8,86,NA,NA,NA,27,21,7,1,16,NA,6,NA,7,NA,16,1,5,NA,NA,210,7,6,7,"Krasnoyarsk",7195483,1977,46,0.73305703489026,0.539834651859402,1.73456358070851,2.79868490263279
"47","KRI",51,33,15,14,1,21,7,6,NA,73,1,28,1,1,183,NA,8,87,NA,NA,45,38,1,21,28,4,NA,27,99,4,9,1,8,NA,49,30,3,28,5,12,2,4,4,1,22,4,2,6,7,83,2,52,2,4,NA,18,NA,1,6,NA,1,1,NA,6,NA,NA,10,3,1,1,201,6,2,NA,46,NA,NA,1,14,25,34,4,12,1,NA,5,17,2,24,4,2,NA,NA,170,19,13,1,"Kriti",12284,1788,47,0.878011281169494,0.672738997146435,1.28872825636948,2.63085699018989
"48","KRY",46,28,7,14,NA,10,6,2,NA,88,NA,10,1,2,200,1,6,131,NA,4,51,60,NA,30,105,3,1,40,90,5,21,NA,19,1,37,35,1,51,6,16,4,6,9,1,19,5,3,2,7,94,3,52,4,2,NA,21,NA,NA,5,NA,NA,4,NA,10,NA,NA,13,2,1,NA,278,5,4,4,59,NA,NA,1,18,25,33,5,16,NA,NA,2,9,4,14,5,3,NA,NA,189,19,7,1,"Krym",42316,2096,48,0.25434718702049,0.463325143252182,0.756316389692098,1.21194394369959
"49","KUR",40,1,6,1,NA,8,5,NA,NA,26,1,1,3,2,25,3,2,24,NA,7,46,8,NA,36,29,2,NA,16,30,12,1,NA,18,2,4,11,1,8,1,12,2,1,44,NA,6,12,NA,2,10,22,2,20,NA,15,3,4,3,NA,NA,3,NA,5,NA,2,NA,1,NA,NA,NA,2,101,2,6,8,94,1,2,1,32,4,8,2,16,NA,6,2,4,4,8,2,5,NA,NA,112,2,6,7,"Kuril Is.",18155,986,49,0.530289528208719,0.00389191242335586,0.800152396008408,1.23841211540293
"50","LBS",47,56,22,33,3,27,9,12,NA,202,3,28,2,7,447,NA,20,224,NA,1,92,112,1,44,56,8,2,32,206,10,65,1,11,3,70,61,7,87,13,13,9,3,7,2,38,12,12,9,10,189,5,92,5,3,NA,33,NA,1,12,NA,NA,5,NA,11,NA,1,15,16,1,1,442,12,3,2,53,1,NA,2,15,78,55,15,34,2,NA,17,49,5,37,8,5,NA,NA,304,44,24,1,"Lebanon-Syria",281723,3737,50,0.992826619780879,1.09263500546329,1.08522488812121,2.85138903316068
"51","MAG",7,NA,2,NA,NA,8,1,NA,NA,17,NA,1,NA,NA,57,1,NA,84,NA,2,67,17,NA,40,72,NA,NA,35,67,40,NA,NA,6,NA,2,6,NA,13,NA,22,NA,NA,25,NA,27,9,NA,NA,13,8,NA,16,NA,35,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,5,137,1,2,6,86,NA,NA,NA,24,2,1,NA,2,NA,4,NA,1,NA,9,1,4,NA,NA,137,NA,NA,8,"Magadan",3251325,1133,51,0.609657441149209,0.631291579455057,2.02129616551398,3.17428200679081
"52","MON",24,23,3,3,NA,19,2,NA,NA,83,1,16,NA,NA,325,2,9,159,NA,3,136,66,NA,63,131,NA,NA,60,87,23,5,NA,26,NA,14,21,NA,87,8,25,3,3,23,1,25,9,5,5,32,90,4,47,3,19,NA,13,NA,NA,15,NA,NA,1,NA,10,NA,2,6,11,2,14,439,3,6,10,136,NA,NA,NA,29,50,20,4,18,NA,5,NA,24,NA,14,3,6,NA,NA,239,13,1,6,"Mongolia",2655862,2793,52,1.11959129327488,1.17162090711616,1.90331642784227,3.67957297019688
"53","MYA",900,146,119,179,280,18,74,6,4,44,105,2,54,52,531,67,15,12,109,82,81,43,151,45,123,58,37,57,11,36,12,61,16,60,331,32,16,21,23,142,72,32,271,34,38,15,32,21,84,221,25,30,39,37,27,7,11,16,1,16,76,62,37,193,29,4,6,2,110,3,300,75,22,6,166,42,20,28,9,16,42,1,22,30,10,5,11,48,41,6,7,11,29,518,105,23,20,"Myanmar",838248,7319,53,1.46719102439997,1.11352020899186,1.72682058786691,3.64819638413275
"54","NCS",63,55,8,20,NA,19,7,3,NA,182,1,18,4,2,302,1,9,224,NA,4,110,97,NA,57,192,3,NA,100,193,26,40,NA,25,1,27,75,5,96,4,36,4,12,15,1,43,22,7,9,17,149,4,94,8,22,3,28,NA,NA,12,1,NA,5,NA,13,NA,2,13,2,2,3,555,8,6,10,140,1,NA,2,32,50,40,5,49,1,3,6,29,5,39,6,5,NA,1,331,20,18,NA,"North Caucasus",411964,3862,54,1.01429642477448,1.12780829261773,1.05392370822626,2.4680417175707
"55","NEP",494,38,45,51,72,43,75,1,1,115,40,2,29,25,330,49,16,99,32,27,160,61,55,76,174,21,15,103,86,35,14,9,14,35,108,40,7,41,12,115,29,15,64,6,82,24,32,7,115,176,34,48,13,107,11,16,6,4,5,9,11,19,14,79,19,9,3,1,31,7,400,19,12,9,217,23,10,13,40,18,28,1,21,14,4,4,6,27,51,6,10,3,5,412,37,15,15,"Nepal",194940,5181,55,1.98224271429026,1.08571161800892,1.35659042083656,3.47747132901558
"56","NET",34,14,7,8,NA,7,3,2,NA,44,NA,2,4,1,46,1,4,49,NA,2,31,18,NA,23,255,NA,NA,25,49,11,8,NA,12,NA,16,13,1,24,2,15,NA,2,14,NA,9,11,2,1,11,44,NA,41,3,4,1,9,NA,NA,NA,NA,NA,1,NA,2,NA,1,2,NA,NA,3,354,3,5,6,88,NA,NA,NA,27,7,8,NA,5,NA,1,1,1,2,12,1,NA,NA,NA,109,6,8,5,"Netherlands",67846,1541,56,0.389372112095225,0.00146670343149113,0.026051002961353,0.425517023539103
"57","NNS",144,24,15,18,8,5,17,NA,1,9,16,4,9,9,89,NA,8,2,4,12,10,10,16,10,23,3,NA,2,8,4,1,2,8,8,48,1,20,7,NA,19,12,6,11,3,5,4,10,3,5,39,NA,10,4,1,9,1,2,1,NA,9,4,7,2,21,5,2,NA,NA,16,NA,69,7,4,1,118,12,6,8,5,5,9,2,5,9,2,1,NA,11,7,3,2,3,6,117,15,3,3,"Nansei-shoto",2730,1219,57,0.566922507140912,0.398774700178237,1.33018952975149,1.84954566265602
"58","NOR",34,7,5,4,NA,9,2,NA,NA,22,NA,2,2,NA,46,1,3,50,NA,2,55,18,NA,31,104,NA,NA,28,60,23,3,NA,14,NA,17,10,NA,11,1,15,NA,2,27,NA,11,17,2,1,11,28,NA,32,3,21,1,11,NA,NA,1,NA,NA,1,NA,1,NA,1,2,NA,NA,3,596,3,2,6,139,NA,NA,NA,34,5,6,NA,2,NA,2,NA,1,2,12,1,3,NA,NA,107,4,5,9,"Norway",865570,1694,58,0.901632289026557,0.118876859336386,1.58454853795365,2.54560419999946
"59","POL",46,24,9,10,NA,10,2,3,NA,68,NA,2,2,1,93,1,7,86,NA,3,86,35,NA,29,247,NA,1,50,92,26,11,NA,23,NA,29,25,2,29,5,30,1,5,22,NA,16,17,2,3,18,65,1,55,5,21,NA,13,NA,NA,1,NA,NA,3,NA,2,1,1,8,NA,NA,5,719,3,5,9,134,NA,NA,NA,33,13,14,NA,10,NA,3,1,7,2,22,2,7,NA,NA,160,5,9,7,"Poland",589143,2517,59,0.0467471411132398,0.144053861409521,0.486914570826252,0.596032261596482
