"","LEVEL3_COD","Orchidaceae","Euphorbiaceae","Araceae","Malvaceae","Acanthaceae","Crassulaceae","Urticaceae","Resedaceae","Hamamelidaceae","Apiaceae","Moraceae","Plumbaginaceae","Araliaceae","Cucurbitaceae","Fabaceae","Balsaminaceae","Solanaceae","Brassicaceae","Gesneriaceae","Celastraceae","Ranunculaceae","Boraginaceae","Lauraceae","Polygonaceae","Rosaceae","Anacardiaceae","Loranthaceae","Orobanchaceae","Caryophyllaceae","Salicaceae","Scrophulariaceae","Myrtaceae","Violaceae","Vitaceae","Rubiaceae","Caprifoliaceae","Aristolochiaceae","Amaranthaceae","Santalaceae","Primulaceae","Rutaceae","Lythraceae","Ericaceae","Capparaceae","Papaveraceae","Onagraceae","Rhamnaceae","Thymelaeaceae","Gentianaceae","Lamiaceae","Berberidaceae","Plantaginaceae","Polygalaceae","Saxifragaceae","Aquifoliaceae","Geraniaceae","Actinidiaceae","Styracaceae","Tamaricaceae","Hydrangeaceae","Arecaceae","Sapindaceae","Menispermaceae","Apocynaceae","Linderniaceae","Elaeagnaceae","Linaceae","Zygophyllaceae","Phyllanthaceae","Grossulariaceae","Asteraceae","Fagaceae","Viburnaceae","Betulaceae","Cyperaceae","Commelinaceae","Eriocaulaceae","Dioscoreaceae","Juncaceae","Amaryllidaceae","Asparagaceae","Asphodelaceae","Liliaceae","Smilacaceae","Melanthiaceae","Colchicaceae","Iridaceae","Oleaceae","Campanulaceae","Cupressaceae","Pinaceae","Schisandraceae","Ebenaceae","Poaceae","Convolvulaceae","Hypericaceae","Lentibulariaceae","LEVEL3_NAM","area","fam_sr","kew","gdd","swb","rock","compound"
"74","SWI",63,22,7,7,NA,25,4,3,NA,78,NA,2,2,2,120,1,6,116,NA,3,110,43,NA,29,260,1,NA,63,100,29,12,NA,26,1,35,41,3,19,6,45,1,4,22,NA,15,19,5,6,34,69,1,61,11,29,1,18,NA,NA,1,NA,NA,5,NA,2,1,1,4,NA,NA,3,727,6,6,10,136,NA,NA,1,37,18,18,1,13,NA,3,3,5,3,30,2,7,NA,NA,186,6,9,9,"Switzerland",70414,2833,74,1.39148151689416,0.417056201880509,1.56403101987706,2.98495701335683
"75","TAI",441,43,38,37,38,22,69,NA,9,28,32,3,28,16,182,3,17,20,14,20,54,24,56,44,100,10,12,15,30,15,5,12,19,24,114,16,21,15,6,35,29,12,45,9,10,16,17,13,31,105,18,29,7,9,26,4,6,7,NA,13,9,17,13,43,16,9,1,2,31,1,200,43,16,7,181,22,7,12,11,3,22,2,8,22,6,3,3,20,16,9,9,9,9,258,33,14,8,"Taiwan",46138,3188,75,1.55987536731747,0.896425905787826,1.28041139959484,3.02591812769583
"76","TCS",62,66,12,35,1,40,8,5,1,260,1,40,4,2,466,1,12,319,NA,7,148,132,NA,72,308,5,NA,111,274,25,73,NA,27,1,88,102,8,119,6,39,6,11,22,1,55,24,10,14,25,229,10,87,22,16,2,43,NA,NA,20,1,NA,11,NA,11,2,1,16,3,4,6,757,10,7,14,151,1,NA,2,35,69,64,9,64,1,4,10,49,6,67,6,4,NA,1,416,27,27,1,"Transcaucasus",286045,5334,76,1.5881143021579,1.40377452408169,1.81453565382043,4.05707561441627
"77","TKM",14,35,5,25,NA,9,6,4,NA,123,2,27,NA,3,282,1,15,178,NA,1,58,86,NA,56,67,3,NA,28,105,15,27,NA,6,2,31,39,NA,162,3,7,11,9,NA,1,22,5,4,5,6,87,8,42,NA,2,NA,18,NA,NA,31,NA,NA,3,NA,4,NA,2,3,15,3,2,415,NA,1,NA,46,NA,NA,NA,19,50,14,6,29,NA,NA,4,18,2,5,4,NA,NA,NA,225,27,7,NA,"Turkmenistan",707752,2580,77,0.74405961561206,0.609732223884853,0.835338236256032,1.8663927005405
"78","TUE",42,30,8,18,3,13,7,3,NA,86,NA,8,1,2,183,NA,9,111,NA,3,64,60,1,25,56,4,1,25,107,1,27,NA,10,1,30,39,5,37,7,12,5,8,7,NA,23,8,3,5,9,106,2,61,6,3,1,20,NA,1,4,NA,NA,5,NA,9,NA,NA,12,1,NA,NA,255,12,2,5,49,NA,NA,1,28,22,34,3,12,1,NA,7,16,7,18,3,4,NA,NA,224,17,11,1,"Turkey-in-Europe",36892,2070,78,0.429167937981767,0.282354796818578,1.56892970627563,1.97971771493079
"79","TUR",95,97,36,54,4,87,9,17,NA,493,2,92,3,7,1006,1,19,597,NA,6,207,333,1,73,264,7,1,99,574,27,308,1,32,2,180,159,27,111,22,45,20,14,26,1,74,24,26,18,30,583,8,166,18,20,1,69,NA,1,10,1,1,12,NA,20,2,2,46,4,3,6,1273,21,7,11,141,NA,NA,1,38,224,206,21,106,2,3,47,206,10,156,10,9,NA,1,499,56,100,6,"Turkey",1132395,9458,79,1.52835454586446,1.15800733040742,2.17488315969781,4.42534943389499
"80","TVA",18,11,4,1,NA,13,3,NA,NA,36,NA,7,NA,NA,137,1,3,86,NA,2,101,41,NA,31,86,NA,NA,41,61,23,2,NA,16,NA,9,15,NA,61,3,24,NA,1,21,NA,19,8,1,NA,25,60,1,33,3,18,NA,9,NA,NA,3,NA,NA,NA,NA,1,NA,1,4,2,NA,7,225,NA,2,2,32,NA,NA,NA,25,28,4,1,7,NA,4,NA,8,NA,10,2,5,NA,NA,164,5,1,6,"Tuva",316859,1584,80,0.911281839661179,1.03504896144075,1.72000718572003,3.32637797151031
"81","TZK",15,47,8,18,NA,29,5,3,NA,195,2,52,NA,3,491,1,11,252,NA,4,124,135,NA,83,123,3,NA,60,150,21,28,NA,16,4,42,58,NA,152,4,39,13,11,2,1,45,18,7,4,30,245,14,67,1,11,NA,21,NA,NA,18,NA,NA,3,NA,6,1,3,6,14,4,6,723,NA,NA,4,86,NA,1,NA,24,106,16,32,68,NA,NA,4,34,4,17,5,NA,NA,1,311,39,5,1,"Tadzhikistan",211827,4210,81,1.45553766761039,1.33083914570806,1.77324029013387,3.75612745732316
"82","UKR",47,42,9,17,NA,17,6,3,NA,96,NA,18,1,2,179,1,8,143,NA,4,109,76,NA,47,173,1,1,64,148,22,21,NA,27,1,52,38,2,65,7,27,2,10,24,NA,19,15,2,4,22,99,2,70,8,15,NA,23,NA,NA,3,NA,NA,5,NA,12,1,2,15,2,NA,5,562,4,6,9,136,1,NA,NA,34,38,32,1,27,NA,3,5,20,5,26,2,6,NA,NA,241,13,8,5,"Ukraine",1073891,3018,82,0.681652598468597,0.796768960358684,1.18338278731993,2.27264809771616
"83","UZB",13,40,8,15,NA,16,5,3,NA,203,NA,40,NA,3,450,1,13,214,NA,3,94,114,NA,83,90,2,NA,40,126,13,26,NA,15,3,31,46,NA,186,3,26,17,13,NA,1,30,12,6,6,16,119,10,53,1,5,NA,18,NA,NA,18,NA,NA,4,NA,4,1,2,3,14,NA,2,609,NA,NA,5,87,NA,1,NA,20,113,15,23,83,NA,NA,3,40,1,6,4,NA,NA,NA,254,26,5,1,"Uzbekistan",696519,3576,83,1.07582619395914,0.923228289443326,0.906456980988281,2.47902298976448
"84","WHM",268,41,35,36,32,38,33,NA,1,109,21,6,15,24,398,29,13,151,14,18,149,91,14,95,166,12,4,94,104,24,24,NA,13,15,76,43,2,64,9,76,13,10,18,3,58,32,24,7,82,200,33,54,11,54,3,26,2,NA,7,5,6,17,4,60,9,6,2,3,21,6,593,8,9,8,172,14,5,9,25,32,22,4,40,8,2,5,12,25,33,7,8,2,1,526,29,9,5,"West Himalaya",409803,4746,84,1.58650066089608,1.20870132632469,1.93257854954205,4.22042104291674
"85","WSB",32,24,4,6,NA,9,4,NA,NA,62,NA,8,NA,NA,135,1,4,100,NA,1,103,38,NA,53,117,NA,NA,53,101,24,7,NA,26,NA,21,19,1,62,4,18,NA,5,27,NA,12,18,2,1,26,81,1,43,4,19,NA,15,NA,NA,2,NA,NA,NA,NA,4,1,1,5,1,NA,5,285,NA,3,9,138,NA,NA,NA,33,16,6,3,17,NA,5,NA,8,NA,15,2,5,NA,NA,190,11,5,6,"West Siberia",6473825,2067,85,0.900658434385434,0.830840864867644,1.3530780385616,2.67896131960549
"86","YAK",20,5,5,1,NA,11,4,NA,NA,34,NA,2,NA,NA,83,1,1,86,NA,2,90,26,NA,40,70,NA,NA,39,76,40,NA,NA,15,NA,9,10,NA,23,2,22,NA,NA,30,NA,22,7,NA,NA,16,43,NA,19,2,32,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,6,168,NA,3,9,117,NA,NA,NA,23,10,5,1,6,NA,6,NA,6,NA,9,1,6,NA,NA,163,2,2,8,"Yakutskiya",8817001,1453,86,0.693072639320625,0.685131475252916,1.77586976508097,2.89659331789398
"87","YUG",92,54,13,23,3,45,8,5,NA,203,NA,39,2,3,348,1,11,269,2,4,187,92,1,44,235,4,1,105,261,27,46,1,49,1,83,95,6,48,16,49,8,6,30,1,37,18,10,11,40,189,3,115,15,40,1,37,NA,1,4,NA,NA,9,NA,11,1,1,23,1,1,5,791,12,7,12,160,NA,NA,2,45,57,60,6,33,1,3,12,48,11,100,7,11,NA,NA,375,20,21,8,"Yugoslavia",414126,4896,87,1.00252631553178,1.07878072822701,1.44821698347103,3.0745643937687
